session_id,auction_tier,round,status,player_key,rank,bid,name_confidence,bid_confidence,is_self,is_imputed_zero
session_f6fb023e4e346d07,S,4,complete,player_ce0cdf9b2d5b3401,2,2000000,0.99911,0.996932,false,false
session_f6fb023e4e346d07,S,4,complete,player_5e3730811248c908,3,546574,0.955049,0.995511,true,false
session_f6fb023e4e346d07,S,4,complete,player_f8af3aad8f10cd37,4,,0.999109,0.0,false,true
session_18c86c99f8d9dfc4,S,1,complete,player_b75fbb6d955e5093,1,4000000,0.995323,0.995618,false,false
session_18c86c99f8d9dfc4,S,1,complete,player_5e3730811248c908,2,542574,0.895726,0.993619,true,false
session_18c86c99f8d9dfc4,S,1,complete,player_13dea1b8c361fb70,3,8428,0.994496,0.999555,false,false
session_18c86c99f8d9dfc4,S,1,complete,player_860b948b4bab2d69,4,,0.995776,0.0,false,true
session_61091e55489bdeb1,S,1,complete,player_c1cda99f7cbaeea3,1,2500000,0.999717,0.999389,false,false
session_61091e55489bdeb1,S,1,complete,player_50b6a70056a60ba6,2,2000000,0.998661,0.996932,false,false
session_61091e55489bdeb1,S,1,complete,player_133a4173d35f9f3d,3,1200000,0.993615,0.99808,false,false
session_61091e55489bdeb1,S,1,complete,player_5e3730811248c908,4,549214,0.892692,0.989919,true,false
session_61091e55489bdeb1,S,2,complete,player_50b6a70056a60ba6,1,2222222,0.998601,0.999956,false,false
session_61091e55489bdeb1,S,2,complete,player_133a4173d35f9f3d,2,1200000,0.99667,0.99892,false,false
session_61091e55489bdeb1,S,2,complete,player_5e3730811248c908,3,549214,0.955049,0.998001,true,false
session_61091e55489bdeb1,S,2,complete,player_c1cda99f7cbaeea3,4,,0.999783,0.0,false,true
session_6f5da02ed18180f0,S,1,complete,player_58029c00f44b69e6,1,6000001,0.999213,0.998461,false,false
session_6f5da02ed18180f0,S,1,complete,player_c68be583d1469aa0,2,4000000,0.998601,0.995648,false,false
session_6f5da02ed18180f0,S,1,complete,player_5e3730811248c908,3,545214,0.955049,0.997979,true,false
session_6f5da02ed18180f0,S,1,complete,player_e9b580ce55449e9d,4,3,0.995833,0.998712,false,false
session_6f5da02ed18180f0,S,2,complete,player_e9b580ce55449e9d,1,6020000,0.997168,0.998197,false,false
session_6f5da02ed18180f0,S,2,complete,player_58029c00f44b69e6,2,5000000,0.999084,0.995865,false,false
session_6f5da02ed18180f0,S,2,complete,player_c68be583d1469aa0,3,5000000,0.998871,0.998537,false,false
session_6f5da02ed18180f0,S,2,complete,player_5e3730811248c908,4,,0.892692,0.0,true,false
session_6f5da02ed18180f0,S,3,complete,player_58029c00f44b69e6,1,6000000,0.999213,0.997548,false,false
session_6f5da02ed18180f0,S,3,complete,player_c68be583d1469aa0,2,5200000,0.998601,0.997288,false,false
session_6f5da02ed18180f0,S,3,complete,player_5e3730811248c908,3,548814,0.955049,0.99587,true,false
session_6f5da02ed18180f0,S,3,complete,player_e9b580ce55449e9d,4,,0.995833,0.0,false,true
session_6f5da02ed18180f0,S,4,complete,player_23a3cef0cb6d509f,1,5800000,0.842055,0.99619,false,false
session_6f5da02ed18180f0,S,4,complete,player_58029c00f44b69e6,2,5000000,0.99908,0.993329,false,false
session_6f5da02ed18180f0,S,4,complete,player_5e3730811248c908,3,548814,0.955049,0.995246,true,false
session_6f5da02ed18180f0,S,4,complete,player_e9b580ce55449e9d,4,,0.995833,0.0,false,true
session_d757a583b1a91a39,S,1,complete,player_ba53e13f0b59a860,1,4000000,0.986803,0.997695,false,false
session_d757a583b1a91a39,S,1,complete,player_ef1e6cd59fc3cec3,2,3088928,0.997826,0.997793,false,false
session_d757a583b1a91a39,S,1,complete,player_2aef11d56be9cc51,3,3000000,0.846407,0.998932,false,false
session_d757a583b1a91a39,S,1,complete,player_5e3730811248c908,4,551252,0.892692,0.998311,true,false
session_d757a583b1a91a39,S,2,complete,player_ba53e13f0b59a860,1,4400000,0.986803,0.999425,false,false
session_d757a583b1a91a39,S,2,complete,player_ef1e6cd59fc3cec3,2,3088928,0.997826,0.9955,false,false
session_d757a583b1a91a39,S,2,complete,player_2aef11d56be9cc51,3,3000000,0.846407,0.998932,false,false
session_d757a583b1a91a39,S,2,complete,player_5e3730811248c908,4,551252,0.91278,0.998311,true,false
session_d757a583b1a91a39,S,3,complete,player_ba53e13f0b59a860,1,3300000,0.986803,0.999324,false,false
session_d757a583b1a91a39,S,3,complete,player_ef1e6cd59fc3cec3,2,3088928,0.997826,0.996702,false,false
session_d757a583b1a91a39,S,3,complete,player_2aef11d56be9cc51,3,3000000,0.846407,0.998932,false,false
session_d757a583b1a91a39,S,3,complete,player_5e3730811248c908,4,551252,0.891978,0.998311,true,false
session_d757a583b1a91a39,S,4,complete,player_ba53e13f0b59a860,1,3300000,0.986803,0.999324,false,false
session_d757a583b1a91a39,S,4,complete,player_ef1e6cd59fc3cec3,2,3088928,0.997826,0.9955,false,false
session_d757a583b1a91a39,S,4,complete,player_2aef11d56be9cc51,3,3000000,0.846407,0.998986,false,false
session_d757a583b1a91a39,S,4,complete,player_5e3730811248c908,4,551252,0.891978,0.998908,true,false
session_d757a583b1a91a39,S,5,complete,player_ba53e13f0b59a860,1,3500000,0.981851,0.996855,false,false
session_d757a583b1a91a39,S,5,complete,player_ef1e6cd59fc3cec3,2,3088928,0.997826,0.996702,false,false
session_d757a583b1a91a39,S,5,complete,player_2aef11d56be9cc51,3,3000032,0.847394,0.999072,false,false
session_d757a583b1a91a39,S,5,complete,player_5e3730811248c908,4,551252,0.889414,0.998393,true,false
session_da2b746c1b5fb352,S,1,complete,player_acb644af254feb8d,1,2000000,0.994836,0.998373,false,false
session_da2b746c1b5fb352,S,1,complete,player_93408a8c37ba25a4,2,2000000,0.997969,0.997829,false,false
session_da2b746c1b5fb352,S,1,complete,player_66ba303f8d426c20,3,1200000,0.999157,0.99808,false,false
session_da2b746c1b5fb352,S,1,complete,player_5e3730811248c908,4,549068,0.892692,0.993441,true,false
session_da2b746c1b5fb352,S,2,complete,player_acb644af254feb8d,1,2500000,0.994836,0.999389,false,false
session_da2b746c1b5fb352,S,2,complete,player_93408a8c37ba25a4,2,2000000,0.997969,0.997829,false,false
session_da2b746c1b5fb352,S,2,complete,player_66ba303f8d426c20,3,1500000,0.999157,0.999303,false,false
session_da2b746c1b5fb352,S,2,complete,player_5e3730811248c908,4,551034,0.892692,0.99724,true,false
session_da2b746c1b5fb352,S,3,complete,player_93408a8c37ba25a4,1,4600000,0.998098,0.998386,false,false
session_da2b746c1b5fb352,S,3,complete,player_acb644af254feb8d,2,2500000,0.996094,0.996172,false,false
session_da2b746c1b5fb352,S,3,complete,player_66ba303f8d426c20,3,1500000,0.999157,0.999412,false,false
session_da2b746c1b5fb352,S,3,complete,player_5e3730811248c908,4,551034,0.91278,0.996257,true,false
session_b5d95fa1f5586c99,S,1,complete,player_5aff38c349ef210d,1,4000000,0.990418,0.997695,false,false
session_b5d95fa1f5586c99,S,1,complete,player_dfd37b0f10c26d9b,2,3000000,0.97907,0.996609,false,false
session_b5d95fa1f5586c99,S,1,complete,player_5200f59b2dab8ebe,3,2600000,0.989989,0.999537,false,false
session_b5d95fa1f5586c99,S,1,complete,player_5e3730811248c908,4,545068,0.91278,0.997284,true,false
session_b5d95fa1f5586c99,S,2,complete,player_dfd37b0f10c26d9b,1,4675513,0.977564,0.999727,false,false
session_b5d95fa1f5586c99,S,2,complete,player_5aff38c349ef210d,2,4000000,0.991662,0.995648,false,false
session_b5d95fa1f5586c99,S,2,complete,player_5200f59b2dab8ebe,3,2600000,0.990034,0.999537,false,false
session_b5d95fa1f5586c99,S,2,complete,player_5e3730811248c908,4,550634,0.892692,0.993365,true,false
session_b5d95fa1f5586c99,S,3,complete,player_5aff38c349ef210d,1,4000000,0.990418,0.99681,false,false
session_b5d95fa1f5586c99,S,3,complete,player_5200f59b2dab8ebe,2,3380000,0.997725,0.989386,false,false
session_b5d95fa1f5586c99,S,3,complete,player_5e3730811248c908,3,550634,0.955049,0.994162,true,false
session_b5d95fa1f5586c99,S,3,complete,player_dfd37b0f10c26d9b,4,,0.976865,0.0,false,true
session_b5d95fa1f5586c99,S,4,complete,player_5aff38c349ef210d,1,4000000,0.991233,0.995618,false,false
session_b5d95fa1f5586c99,S,4,complete,player_5200f59b2dab8ebe,2,3380000,0.997713,0.962354,false,false
session_b5d95fa1f5586c99,S,4,complete,player_dfd37b0f10c26d9b,3,1000000,0.978304,0.995674,false,false
session_b5d95fa1f5586c99,S,4,complete,player_5e3730811248c908,4,550634,0.892692,0.993365,true,false
session_eb1ec7b642389665,S,1,complete,player_7a4b2230a2d21139,1,4000000,0.999497,0.997695,false,false
session_eb1ec7b642389665,S,1,complete,player_9daaf27d7bec2f32,2,3000000,0.997929,0.996609,false,false
session_eb1ec7b642389665,S,1,complete,player_5e3730811248c908,3,555715,0.955049,0.997777,true,false
session_eb1ec7b642389665,S,1,complete,player_06a6f2fc7b70d132,4,,0.998864,0.0,false,true
session_eb1ec7b642389665,S,2,complete,player_9daaf27d7bec2f32,1,1000000,0.997017,0.998512,false,false
session_eb1ec7b642389665,S,2,complete,player_5e3730811248c908,2,,0.900543,0.0,true,false
session_eb1ec7b642389665,S,2,complete,player_7a4b2230a2d21139,3,,0.999322,0.0,false,true
session_eb1ec7b642389665,S,2,complete,player_06a6f2fc7b70d132,4,,0.998549,0.0,false,true
session_1c09bbfbb02cc26e,S,1,complete,player_96adcd0638f78da2,1,4000000,0.993629,0.997695,false,false
session_1c09bbfbb02cc26e,S,1,complete,player_ce0cdf9b2d5b3401,2,2000000,0.99911,0.996932,false,false
